품목,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2025-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
주류,8120768380,8340621400,8489421140,9443622020,9340016880,8988684580,7466914540,8208859470,7871289780,7792100490,7253859110,6304805710
담배,7166238200,6520430900,7722474200,7975132890,7126035330,7224292430,6385839400,7247353050,6702133040,6908375260,6737748630,6020181380
시계,316593530,221929420,197309300,236089110,231292060,244074150,216246810,227474550,215137590,206841480,195409300,175836670
화장품,8275440790,7868049120,8302975080,8976641390,8721918720,8226397680,7115476730,7996839390,7448566570,8492508340,8079050970,6728942160
향수,5146025400,4897524490,5324495510,5585560960,5305653210,5158852580,4824786480,5502618350,4774587150,5124601450,4881701340,4109758090
핸드백/지갑/밸트,5018874920,5439211390,5994606440,5935200890,5354998780,5136359970,4080494410,4637494820,4703324620,5101833250,4611141060,3722076610
선글라스,1233936510,1210613700,2096699630,2491090190,2517441810,2293873700,1782784440,1848093250,1576111600,1465479370,1412879440,785192820
과자류,565185990,623477180,561010390,567521010,576837560,627746100,571534970,671179050,553769250,616956780,627880580,509221460
인삼류,770681000,752775450,659687820,907710320,962351500,801078800,626332140,702560840,874253880,744633730,701337830,667291940
넥타이,13731680,16672360,17324900,21488610,13463920,7668240,5472040,5953080,10142600,9357000,12042680,10741320
스카프,160453060,78441380,102451550,91058340,29290230,14167220,12394780,17100580,26798790,94548930,236110700,217082440
액세서리,1218597280,1237785470,1407283440,1392804790,1413262280,1396927070,1348558850,1309080250,1279993800,1292561180,1174559100,1150853410
문구류,159758020,172828250,131808030,103676460,107984840,96835480,99951170,112951470,90366530,102073630,79051780,73100150
완구류,493280010,459575600,429250990,466167810,664448150,623938250,548433690,706296420,550850860,578644670,492031780,598642100
라이터,43209060,41452220,43398170,40397190,29955530,36137270,24851490,41552220,31134580,37997060,39732460,36413470
기타,56247670,59845340,54914130,48250060,95248360,64235780,49901930,48926660,41750990,29060280,67565920,84011090
